"ID","Taxon","Common Name","Observer","Source","time","InfestedArea","Percent Cover","GrossArea","High_Plant","Management Status","Detail URL","County","lat","lng","Datum","Elevation (meters)","Notes"
"cch:POM58131","Aster lentus","Suisun marsh aster","Ivar Tidestrom","Consortium of California Herbaria","1994-10-31 00:00:00+01","x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=POM58131&YF=1","Alameda",37.7729,-122.2758,"NAD83",6,"POM58131"
"cch:CAS3592","Symphyotrichum lentum","Suisun marsh aster","W. W. Carruth","Consortium of California Herbaria","2000-09-30 00:00:00+01","x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=CAS3592&YF=1","Alameda",37.8027,-122.2655,"NAD83",11,"CAS3592"
"cch:CAS1028789","Symphyotrichum lentum","Suisun marsh aster","Greg de Nevers","Consortium of California Herbaria","2001-09-18 00:00:00+01","x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=CAS1028789&YF=1","Marin",37.9333333,-122.6833333,"NAD83",79,"CAS1028789"
"cch:CAS1007308","Symphyotrichum lentum","Suisun marsh aster","Doreen Smith","Consortium of California Herbaria","2000-09-13 00:00:00+01","x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=CAS1007308&YF=1","Marin",38.207156,-122.752359,"NAD83",70,"CAS1007308"
"cch:CAS562233","Symphyotrichum lentum","Suisun marsh aster","Walter Lennon","Consortium of California Herbaria","1972-10-31 00:00:00+01","x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=CAS562233&YF=1","Marin",38.204593,-122.783945,"NAD83",62,"CAS562233"
"cch:CAS437910","Symphyotrichum lentum","Suisun marsh aster","Javier Penalosa","Consortium of California Herbaria","1961-08-26 00:00:00+01","x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=CAS437910&YF=1","Marin",37.884221,-122.472254,"NAD83",3,"CAS437910"
"cch:CAS177116","Symphyotrichum lentum","Suisun marsh aster","John Thomas Howell","Consortium of California Herbaria","2015-04-05 00:00:00+01","x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=CAS177116&YF=1","Marin",37.906679,-122.546189,"NAD83",23,"CAS177116"
