"ID","Taxon","Common","Observer","Source","time","InfestedArea","Percent Cover","GrossArea","Low_Plant","High_Plant","Management Status","Detail URL","County","lat","lng","Datum","Elevation (meters)","Notes"
"mcp4833","Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014-06-23," ","05/25/15","1.24398 Acres",,300,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4833","Marin",38.0199558,-122.51891479,"NAD83"," "," "
"mcp4830","Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014-06-23," ","05/25/15","1.48819 Acres",,200,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4830","Marin",37.99309061,-122.45288268,"NAD83"," "," "
"mcp4832","Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014-06-23," ","05/25/15","0.101976 Acres",,57,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4832","Marin",38.01874156,-122.51519254,"NAD83"," "," "
"mcp2476","Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014-06-23," ","0.00%","< 0.1 Acres",,0,"verified","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp2476","Marin",38.01420533,-122.51029169,"NAD83"," ","No plants found 06/23/14"
"mcp5300","Lepidium latifolium","Perennial pepperweed","staff","MCOSD",2014-06-23," ",0,"0.0496382683922 Acres",,0,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp5300","Marin",37.99222344,-122.45155792,"NAD83"," "," "
"mcp5301","Lepidium latifolium","Perennial pepperweed","staff","MCOSD",2014-06-23," ",0,"0.0752982804189 Acres",,0,"verified","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp5301","Marin",38.01723865,-122.50748748,"NAD83"," "," "
"mcp5302","Lepidium latifolium","Perennial pepperweed","staff","MCOSD",2014-06-23," ",0,"0.0240544067892 Acres",,0,"verified","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp5302","Marin",38.0184841,-122.52284389,"NAD83"," "," "
"mcp5303","Lepidium latifolium","Perennial pepperweed","staff","MCOSD",2014-06-23," ",0,"0.069058671517 Acres",,0,"verified","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp5303","Marin",38.01982532,-122.51973537,"NAD83"," "," "
"mcp5304","Lepidium latifolium","Perennial pepperweed","staff","MCOSD",2014-06-23," ",0,"0.00948923684011 Acres",,0,"verified","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp5304","Marin",38.02127376,-122.51587245,"NAD83"," "," "
"oe7084","Lepidium latifolium","Perennial pepperweed","Trumbo, Joel","CA Dept of Fish & Wildlife",2014-06-03," "," "," ",101,1000," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=oe7084","Marin",38.232908,-122.912904,"NAD83",3," "
"oe7083","Lepidium latifolium","Perennial pepperweed","Trumbo, Joel"," ",2014-06-03," "," "," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=oe7083","Marin",38.229571,-122.915521,"NAD83",3," "
"oe7082","Lepidium latifolium","Perennial pepperweed","Trumbo, Joel","CA Dept of Fish & Wildife",2014-06-03," "," "," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=oe7082","Marin",38.226233,-122.917174,"NAD83",2,"scattered patches, first control initiated in 2008, no follow-up until 2014. Infestation does not seem to be spreading rapidly. Much reduced from 2008."
"mg3816","Lepidium latifolium","Perennial pepperweed","Vertin Alvarez ","Marin County Parks Early Detection",2014-05-15," ","50 - 75"," ",11,50," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg3816","Marin",38.1266126322,-122.5305554643,"NAD83",2," "
"mg3815","Lepidium latifolium","Perennial pepperweed","Vertin Alvarez ","Marin County Parks Early Detection",2014-05-15," ","75 - 95"," ",11,50," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg3815","Marin",38.126663,-122.530383,"NAD83",2," "
"mg3813","Lepidium latifolium","Perennial pepperweed","Vertin Alvarez ","Marin County Parks Early Detection",2014-05-15," ","25 - 50"," ",11,50," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg3813","Marin",38.12715,-122.530241,"NAD83",2," "
"mg3812","Lepidium latifolium","Perennial pepperweed","Vertin Alvarez ","Marin County Parks Early Detection",2014-05-15," ","50 - 75"," ",11,50," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg3812","Marin",38.12733,-122.530305,"NAD83",2," "
"mg3810","Lepidium latifolium","Perennial pepperweed","Vertin Alvarez ","Marin County Parks Early Detection",2014-05-15," ","05/25/15"," ",2,10," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg3810","Marin",38.127168,-122.530058,"NAD83",2," "
"mg3809","Lepidium latifolium","Perennial pepperweed","Vertin Alvarez ","Marin County Parks Early Detection",2014-05-15," ","50 - 75"," ",101,1000," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg3809","Marin",38.1263044461,-122.5288420357,"NAD83",17," "
"mcp4736","Lepidium latifolium","Perennial pepperweed","Steve Pye","MCOSD",2014-05-14," ","25 - 50","0.140799 Acres",,250,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4736","Marin",38.0961678,-122.5402781,"NAD83"," "," "
"mcp4738","Lepidium latifolium","Perennial pepperweed","Steve Pye","MCOSD",2014-05-14," ","05/25/15","0.767234 Acres",,200,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4738","Marin",38.10023862,-122.54098056,"NAD83"," "," "
"mcp4739","Lepidium latifolium","Perennial pepperweed","Steve Pye","MCOSD",2014-05-14," ","05/25/15","0.00294485 Acres",,3,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4739","Marin",38.09876565,-122.54323167,"NAD83"," "," "
"mcp2458","Lepidium latifolium","Perennial pepperweed","Steve Pye","MCOSD",2014-05-14," ","0.00%","< 0.1 Acres",,0,"verified","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp2458","Marin",38.09817831,-122.54269628,"NAD83"," ","None found this year."
"mcp2459","Lepidium latifolium","Perennial pepperweed","Steve Pye","MCOSD",2014-05-14," ","0.00%","< 0.1 Acres",,0,"verified","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp2459","Marin",38.09345801,-122.5386456,"NAD83"," ","Nothing living in this patch."
"mcp4682","Lepidium latifolium","Perennial pepperweed","Bryan Derr","MCOSD",2014-04-03," ","05/25/15","0.0092302 Acres",,100,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4682","Marin",37.88376327,-122.5111941,"NAD83"," "," "
"in:591908","Lepidium latifolium","Perennial pepperweed","jachapman","iNaturalist",2014-03-28," "," "," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=in:591908","Marin",38.067879,-122.814887,"NAD83",2,"Pepper weed, non native"
"cbo24015","Lepidium latifolium","Perennial pepperweed","Eric Wrubel","National Park Service",2014-03-20," "," "," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=cbo24015","Marin",37.946193,-122.508525,"NAD83",3," "
"mg2222","Lepidium latifolium","Perennial pepperweed","Vertin Alvarez "," ",2014-02-19," ","01/05/15","60 Square Meters",101,1000," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg2222","Marin",37.89216861,-122.52535035,"NAD83",3," "
"mcp4463","Lepidium latifolium","Perennial pepperweed","Monica Delmartini","MCOSD",2013-06-18," ","25 - 50","1.20914 Acres",,0,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4463","Marin",38.09992064,-122.54104166,"NAD83"," "," "
"mcp4461","Lepidium latifolium","Perennial pepperweed","Monica Delmartini","MCOSD",2013-06-17," ","01/05/15","0.201403 Acres",,0,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4461","Marin",38.01871318,-122.52054391,"NAD83"," "," "
"mcp4460","Lepidium latifolium","Perennial pepperweed","Monica Delmartini","MCOSD",2013-06-17," ","01/05/15","0.109838 Acres",,0,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4460","Marin",37.9919647,-122.4516934,"NAD83"," "," "
"mcp4462","Lepidium latifolium","Perennial pepperweed","Monica Delmartini","MCOSD",2013-06-17," ","05/25/15","0.782934 Acres",,0,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4462","Marin",38.01563824,-122.51054528,"NAD83"," "," "
"wb1184-87","Lepidium latifolium","Perennial pepperweed","BILL MILLER","California State Parks WIMS",2013-06-17," ",16.5," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1184-87","Marin",38.00273976,-122.46419723,"NAD83",2,"treated"
"wb1184-86","Lepidium latifolium","Perennial pepperweed","BILL MILLER","California State Parks WIMS",2013-06-17," ",16.5," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1184-86","Marin",38.00270516,-122.46344248,"NAD83",1,"treated"
"wb1184-85","Lepidium latifolium","Perennial pepperweed","BILL MILLER","California State Parks WIMS",2013-06-17," ",16.5," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1184-85","Marin",38.00334523,-122.469069,"NAD83",2,"treated"
"wb1184-84","Lepidium latifolium","Perennial pepperweed","BILL MILLER","California State Parks WIMS",2013-06-17," ",16.5," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1184-84","Marin",38.00401184,-122.47031934,"NAD83",1,"treated. very sparse"
"wb1184-83","Lepidium latifolium","Perennial pepperweed","BILL MILLER","California State Parks WIMS",2013-06-17," ",16.5," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1184-83","Marin",38.00665371,-122.48127121,"NAD83",2,"treated"
"cbo17657","Lepidium latifolium","Perennial pepperweed","Eric Wrubel","National Park Service",2013-05-28," "," "," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=cbo17657","Marin",37.944071,-122.503927,"NAD83",5," "
